name,id,Rate1,Rate2,Rate3
UNITED STATES,0,166758800,1421,2995
ALABAMA,1000,2416422,1421,1561
"Autauga, AL",1001,16289,1804,1432
"Baldwin, AL",1003,70247,1106,323
"Barbour, AL",1005,15197,790,2234
"Bibb, AL",1007,6098,1576,393
"Blount, AL",1009,16503,1795,2225
"Bullock, AL",1011,4557,762,2932
"Butler, AL",1013,9471,1490,1895
"Calhoun, AL",1015,61517,1648,1453
"Chambers, AL",1017,16562,182,678
"Cherokee, AL",1019,7964,1674,2373
"Chilton, AL",1021,12376,1424,3182
"Choctaw, AL",1023,6281,487,1167
"Clarke, AL",1025,13340,1894,2179
"Clay, AL",1027,7313,982,3884
"Cleburne, AL",1029,5138,1291,5280
"Coffee, AL",1031,20707,1514,2613
"Colbert, AL",1033,28934,869,2629
"Conecuh, AL",1035,5935,588,5524
"Coosa, AL",1037,2816,1151,4669
"Covington, AL",1039,18313,399,5863
"Crenshaw, AL",1041,5512,761,837
"Cullman, AL",1043,39426,1549,889
"Dale, AL",1045,27222,210,1897
"Dallas, AL",1047,22565,672,3251
"DeKalb, AL",1049,36088,2,146
"Elmore, AL",1051,20779,724,1198
"Escambia, AL",1053,19035,1805,3479
"Etowah, AL",1055,49943,21,1220
"Fayette, AL",1057,7950,1914,5344
"Franklin, AL",1059,15764,1051,4266
"Geneva, AL",1061,9461,1019,3418
"Greene, AL",1063,3154,1303,5220
"Hale, AL",1065,5808,1101,4876
"Henry, AL",1067,6883,1582,1226
"Houston, AL",1069,59731,574,5453
"Jackson, AL",1071,25271,1497,3939
"Jefferson, AL",1073,480563,907,3472
"Lamar, AL",1075,7214,1323,1843
"Lauderdale, AL",1077,43685,1183,4659
"Lawrence, AL",1079,12344,152,2834
"Lee, AL",1081,55217,1521,5508
"Limestone, AL",1083,31245,174,960
"Lowndes, AL",1085,4545,1870,2630
"Macon, AL",1087,8829,1538,1253
"Madison, AL",1089,195409,354,4427
"Marengo, AL",1091,10908,1358,2472
"Marion, AL",1093,16071,837,3273
"Marshall, AL",1095,44934,708,4029
"Mobile, AL",1097,219419,1181,1183
"Monroe, AL",1099,12363,504,4561
"Montgomery, AL",1101,167335,1171,5006
"Morgan, AL",1103,63872,1227,4969
"Perry, AL",1105,4086,193,4479
"Pickens, AL",1107,6530,914,602
"Pike, AL",1109,15770,1900,2563
"Randolph, AL",1111,8327,941,4927
"Russell, AL",1113,17506,1162,1746
"St. Clair, AL",1115,20225,1156,5260
"Shelby, AL",1117,61555,300,3208
"Sumter, AL",1119,5920,1232,581
"Talladega, AL",1121,33160,1365,1731
"Tallapoosa, AL",1123,20559,1224,2203
"Tuscaloosa, AL",1125,95161,94,5187
"Walker, AL",1127,28437,706,82
"Washington, AL",1129,6750,585,5335
"Wilcox, AL",1131,4785,1225,5320
"Winston, AL",1133,13548,1431,1877
ALASKA,2000,395017,1838,5437
"Aleutians East, AK",2013,2023,1231,2994
"Aleutians West, AK",2016,4528,378,1178
"Anchorage, AK",2020,179579,1734,5034
"Bethel, AK",2050,7953,1422,4361
"Bristol Bay, AK",2060,1583,442,1188
"Denali, AK",2068,2109,25,1594
"Dillingham, AK",2070,4140,833,3627
"Fairbanks North Star, AK",2090,51117,1880,1708
"Haines, AK",2100,2488,1080,5531
"Hoonah-Angoon, AK",2105,2526,478,3360
"Juneau, AK",2110,21577,651,455
